Package,LibPath,Version,Priority,Built
acs,/Users/amanda/Library/R/3.3/library,2.1.2,NA,3.3.2
addinexamples,/Users/amanda/Library/R/3.3/library,0.1.0,NA,3.3.3
AlgDesign,/Users/amanda/Library/R/3.3/library,1.1-7.3,NA,3.3.3
analysisHelpers,/Users/amanda/Library/R/3.3/library,2016-12-23,NA,3.3.3
animation,/Users/amanda/Library/R/3.3/library,2.5,NA,3.3.3
ape,/Users/amanda/Library/R/3.3/library,5.0,NA,3.3.2
assertive,/Users/amanda/Library/R/3.3/library,0.3-5,NA,3.3.2
assertive.base,/Users/amanda/Library/R/3.3/library,0.0-7,NA,3.3.2
assertive.code,/Users/amanda/Library/R/3.3/library,0.0-1,NA,3.3.0
assertive.data,/Users/amanda/Library/R/3.3/library,0.0-1,NA,3.3.0
assertive.data.uk,/Users/amanda/Library/R/3.3/library,0.0-1,NA,3.3.0
assertive.data.us,/Users/amanda/Library/R/3.3/library,0.0-1,NA,3.3.0
assertive.datetimes,/Users/amanda/Library/R/3.3/library,0.0-2,NA,3.3.0
assertive.files,/Users/amanda/Library/R/3.3/library,0.0-2,NA,3.3.0
assertive.matrices,/Users/amanda/Library/R/3.3/library,0.0-1,NA,3.3.0
assertive.models,/Users/amanda/Library/R/3.3/library,0.0-1,NA,3.3.0
assertive.numbers,/Users/amanda/Library/R/3.3/library,0.0-2,NA,3.3.0
assertive.properties,/Users/amanda/Library/R/3.3/library,0.0-4,NA,3.3.2
assertive.reflection,/Users/amanda/Library/R/3.3/library,0.0-4,NA,3.3.2
assertive.sets,/Users/amanda/Library/R/3.3/library,0.0-3,NA,3.3.2
assertive.strings,/Users/amanda/Library/R/3.3/library,0.0-3,NA,3.3.0
assertive.types,/Users/amanda/Library/R/3.3/library,0.0-3,NA,3.3.2
assertthat,/Users/amanda/Library/R/3.3/library,0.2.0,NA,3.3.3
audio,/Users/amanda/Library/R/3.3/library,0.1-5,NA,3.3.0
autoinst,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
backports,/Users/amanda/Library/R/3.3/library,1.1.1,NA,3.3.2
base64,/Users/amanda/Library/R/3.3/library,2.0,NA,3.3.3
base64enc,/Users/amanda/Library/R/3.3/library,0.1-3,NA,3.3.3
beepr,/Users/amanda/Library/R/3.3/library,1.2,NA,3.3.0
BH,/Users/amanda/Library/R/3.3/library,1.65.0-1,NA,3.3.2
bigrquery,/Users/amanda/Library/R/3.3/library,0.4.1.9000,NA,3.3.3
bindr,/Users/amanda/Library/R/3.3/library,0.1,NA,3.3.3
bindrcpp,/Users/amanda/Library/R/3.3/library,0.2,NA,3.3.3
bit,/Users/amanda/Library/R/3.3/library,1.1-12,NA,3.3.3
bit64,/Users/amanda/Library/R/3.3/library,0.9-7,NA,3.3.3
bitops,/Users/amanda/Library/R/3.3/library,1.0-6,NA,3.3.3
blob,/Users/amanda/Library/R/3.3/library,1.1.0,NA,3.3.3
Boom,/Users/amanda/Library/R/3.3/library,0.7,NA,3.3.2
BoomSpikeSlab,/Users/amanda/Library/R/3.3/library,0.9.0,NA,3.3.2
boot,/Users/amanda/Library/R/3.3/library,1.3-20,recommended,3.3.3
brew,/Users/amanda/Library/R/3.3/library,1.0-6,NA,3.3.3
broom,/Users/amanda/Library/R/3.3/library,0.4.3,NA,3.3.2
bsts,/Users/amanda/Library/R/3.3/library,0.7.1,NA,3.3.2
ca,/Users/amanda/Library/R/3.3/library,0.70,NA,3.3.3
callr,/Users/amanda/Library/R/3.3/library,1.0.0.9000,NA,3.3.3
car,/Users/amanda/Library/R/3.3/library,2.1-5,NA,3.3.3
caret,/Users/amanda/Library/R/3.3/library,6.0-78,NA,3.3.2
caTools,/Users/amanda/Library/R/3.3/library,1.17.1,NA,3.3.3
CausalImpact,/Users/amanda/Library/R/3.3/library,1.2.3,NA,3.3.2
cellranger,/Users/amanda/Library/R/3.3/library,1.1.0,NA,3.3.3
checkmate,/Users/amanda/Library/R/3.3/library,1.8.5,NA,3.3.2
chron,/Users/amanda/Library/R/3.3/library,2.3-51,NA,3.3.2
class,/Users/amanda/Library/R/3.3/library,7.3-14,recommended,3.3.3
cli,/Users/amanda/Library/R/3.3/library,1.0.0,NA,3.3.2
